team,balls_bowled,overs_completed,overs_remaining,wickets,run_rate,current_score,final_total,match_file
Sunrisers Hyderabad,3,0.5,19.5,0,8.0,4,182,1426261.json
Sunrisers Hyderabad,6,1.0,19.0,0,4.0,4,182,1426261.json
Sunrisers Hyderabad,9,1.5,18.5,0,4.0,6,182,1426261.json
Sunrisers Hyderabad,12,2.0,18.0,0,5.0,10,182,1426261.json
Sunrisers Hyderabad,15,2.5,17.5,0,8.8,22,182,1426261.json
Sunrisers Hyderabad,18,3.0,17.0,0,8.666666666666666,26,182,1426261.json
Sunrisers Hyderabad,20,3.3333333333333335,16.666666666666668,1,8.1,27,182,1426261.json
Sunrisers Hyderabad,21,3.5,16.5,1,7.714285714285714,27,182,1426261.json
Sunrisers Hyderabad,22,3.6666666666666665,16.333333333333332,2,7.363636363636364,27,182,1426261.json
Sunrisers Hyderabad,24,4.0,16.0,2,7.0,28,182,1426261.json
Sunrisers Hyderabad,27,4.5,15.5,2,6.222222222222222,28,182,1426261.json
Sunrisers Hyderabad,30,5.0,15.0,2,7.0,35,182,1426261.json
Sunrisers Hyderabad,32,5.333333333333333,14.666666666666668,3,7.3125,39,182,1426261.json
Sunrisers Hyderabad,33,5.5,14.5,3,7.090909090909091,39,182,1426261.json
Sunrisers Hyderabad,36,6.0,14.0,3,6.666666666666667,40,182,1426261.json
Sunrisers Hyderabad,39,6.5,13.5,3,6.3076923076923075,41,182,1426261.json
Sunrisers Hyderabad,42,7.0,13.0,3,6.428571428571429,45,182,1426261.json
Sunrisers Hyderabad,45,7.5,12.5,3,6.8,51,182,1426261.json
Sunrisers Hyderabad,48,8.0,12.0,3,6.5,52,182,1426261.json
Sunrisers Hyderabad,51,8.5,11.5,3,6.705882352941177,57,182,1426261.json
Sunrisers Hyderabad,54,9.0,11.0,3,6.666666666666667,60,182,1426261.json
Sunrisers Hyderabad,57,9.5,10.5,3,6.526315789473684,62,182,1426261.json
Sunrisers Hyderabad,60,10.0,10.0,4,6.4,64,182,1426261.json
Sunrisers Hyderabad,63,10.5,9.5,4,6.285714285714286,66,182,1426261.json
Sunrisers Hyderabad,66,11.0,9.0,4,7.0,77,182,1426261.json
Sunrisers Hyderabad,69,11.5,8.5,4,7.043478260869565,81,182,1426261.json
Sunrisers Hyderabad,72,12.0,8.0,4,6.916666666666667,83,182,1426261.json
Sunrisers Hyderabad,75,12.5,7.5,4,7.68,96,182,1426261.json
Sunrisers Hyderabad,78,13.0,7.0,4,7.615384615384615,99,182,1426261.json
Sunrisers Hyderabad,81,13.5,6.5,5,7.407407407407407,100,182,1426261.json
Sunrisers Hyderabad,84,14.0,6.0,5,7.571428571428571,106,182,1426261.json
Sunrisers Hyderabad,87,14.5,5.5,5,7.655172413793103,111,182,1426261.json
Sunrisers Hyderabad,90,15.0,5.0,5,8.066666666666666,121,182,1426261.json
Sunrisers Hyderabad,93,15.5,4.5,5,8.580645161290322,133,182,1426261.json
Sunrisers Hyderabad,96,16.0,4.0,5,8.5625,137,182,1426261.json
Sunrisers Hyderabad,99,16.5,3.5,5,8.848484848484848,146,182,1426261.json
Sunrisers Hyderabad,102,17.0,3.0,6,8.823529411764707,150,182,1426261.json
Sunrisers Hyderabad,104,17.333333333333332,2.666666666666668,7,8.711538461538462,151,182,1426261.json
Sunrisers Hyderabad,105,17.5,2.5,7,8.685714285714285,152,182,1426261.json
Sunrisers Hyderabad,108,18.0,2.0,7,8.61111111111111,155,182,1426261.json
Sunrisers Hyderabad,109,18.166666666666668,1.8333333333333321,8,8.53211009174312,155,182,1426261.json
Sunrisers Hyderabad,111,18.5,1.5,8,8.378378378378379,155,182,1426261.json
Sunrisers Hyderabad,114,19.0,1.0,8,8.368421052631579,159,182,1426261.json
Sunrisers Hyderabad,117,19.5,0.5,8,8.41025641025641,164,182,1426261.json
Sunrisers Hyderabad,120,20.0,0.0,8,8.6,172,182,1426261.json
Sunrisers Hyderabad,123,20.5,-0.5,8,8.585365853658537,176,182,1426261.json
Sunrisers Hyderabad,124,20.666666666666668,-0.6666666666666679,9,8.516129032258064,176,182,1426261.json
Sunrisers Hyderabad,125,20.833333333333332,0.0,9,8.736,182,182,1426261.json
Punjab Kings,3,0.5,19.5,0,0.0,0,180,1426261.json
Punjab Kings,6,1.0,19.0,0,1.0,1,180,1426261.json
Punjab Kings,9,1.5,18.5,0,1.3333333333333333,2,180,1426261.json
Punjab Kings,10,1.6666666666666667,18.333333333333332,1,1.2,2,180,1426261.json
Punjab Kings,12,2.0,18.0,1,1.0,2,180,1426261.json
Punjab Kings,15,2.5,17.5,1,2.8,7,180,1426261.json
Punjab Kings,18,3.0,17.0,2,3.6666666666666665,11,180,1426261.json
Punjab Kings,21,3.5,16.5,2,3.7142857142857144,13,180,1426261.json
Punjab Kings,24,4.0,16.0,2,3.5,14,180,1426261.json
Punjab Kings,27,4.5,15.5,2,4.444444444444445,20,180,1426261.json
Punjab Kings,28,4.666666666666667,15.333333333333332,3,4.285714285714286,20,180,1426261.json
Punjab Kings,30,5.0,15.0,3,4.0,20,180,1426261.json
Punjab Kings,33,5.5,14.5,3,4.7272727272727275,26,180,1426261.json
Punjab Kings,36,6.0,14.0,3,4.5,27,180,1426261.json
Punjab Kings,39,6.5,13.5,3,4.923076923076923,32,180,1426261.json
Punjab Kings,42,7.0,13.0,3,5.714285714285714,40,180,1426261.json
Punjab Kings,45,7.5,12.5,3,6.266666666666667,47,180,1426261.json
Punjab Kings,48,8.0,12.0,3,6.125,49,180,1426261.json
Punjab Kings,51,8.5,11.5,3,6.0,51,180,1426261.json
Punjab Kings,54,9.0,11.0,3,6.444444444444445,58,180,1426261.json
Punjab Kings,55,9.166666666666666,10.833333333333334,4,6.327272727272728,58,180,1426261.json
Punjab Kings,57,9.5,10.5,4,6.315789473684211,60,180,1426261.json
Punjab Kings,60,10.0,10.0,4,6.6,66,180,1426261.json
Punjab Kings,63,10.5,9.5,4,6.857142857142857,72,180,1426261.json
Punjab Kings,66,11.0,9.0,4,6.7272727272727275,74,180,1426261.json
Punjab Kings,69,11.5,8.5,4,6.695652173913044,77,180,1426261.json
Punjab Kings,72,12.0,8.0,4,7.0,84,180,1426261.json
Punjab Kings,75,12.5,7.5,4,6.88,86,180,1426261.json
Punjab Kings,78,13.0,7.0,4,7.0,91,180,1426261.json
Punjab Kings,79,13.166666666666666,6.833333333333334,5,6.9113924050632916,91,180,1426261.json
Punjab Kings,81,13.5,6.5,5,6.888888888888889,93,180,1426261.json
Punjab Kings,84,14.0,6.0,5,6.928571428571429,97,180,1426261.json
Punjab Kings,87,14.5,5.5,5,6.896551724137931,100,180,1426261.json
Punjab Kings,90,15.0,5.0,5,7.0,105,180,1426261.json
Punjab Kings,93,15.5,4.5,5,7.354838709677419,114,180,1426261.json
Punjab Kings,94,15.666666666666666,4.333333333333334,6,7.276595744680852,114,180,1426261.json
Punjab Kings,96,16.0,4.0,6,7.25,116,180,1426261.json
Punjab Kings,99,16.5,3.5,6,7.515151515151516,124,180,1426261.json
Punjab Kings,102,17.0,3.0,6,7.647058823529412,130,180,1426261.json
Punjab Kings,105,17.5,2.5,6,7.6,133,180,1426261.json
Punjab Kings,108,18.0,2.0,6,7.888888888888889,142,180,1426261.json
Punjab Kings,111,18.5,1.5,6,7.783783783783784,144,180,1426261.json
Punjab Kings,114,19.0,1.0,6,7.842105263157895,149,180,1426261.json
Punjab Kings,117,19.5,0.5,6,7.897435897435898,154,180,1426261.json
Punjab Kings,120,20.0,0.0,6,8.1,162,180,1426261.json
Punjab Kings,123,20.5,-0.5,6,8.390243902439025,172,180,1426261.json
Punjab Kings,126,21.0,-1.0,6,8.571428571428571,180,180,1426261.json
Punjab Kings,126,21.0,0.0,6,8.571428571428571,180,180,1426261.json
Chennai Super Kings,3,0.5,19.5,0,8.0,4,235,1359507.json
Chennai Super Kings,6,1.0,19.0,0,5.0,5,235,1359507.json
Chennai Super Kings,9,1.5,18.5,0,4.666666666666667,7,235,1359507.json
Chennai Super Kings,12,2.0,18.0,0,7.0,14,235,1359507.json
Chennai Super Kings,15,2.5,17.5,0,6.0,15,235,1359507.json
Chennai Super Kings,18,3.0,17.0,0,7.333333333333333,22,235,1359507.json
Chennai Super Kings,21,3.5,16.5,0,6.285714285714286,22,235,1359507.json
Chennai Super Kings,24,4.0,16.0,0,7.75,31,235,1359507.json
Chennai Super Kings,27,4.5,15.5,0,9.11111111111111,41,235,1359507.json
Chennai Super Kings,30,5.0,15.0,0,9.0,45,235,1359507.json
Chennai Super Kings,33,5.5,14.5,0,9.272727272727273,51,235,1359507.json
Chennai Super Kings,36,6.0,14.0,0,9.833333333333334,59,235,1359507.json
Chennai Super Kings,39,6.5,13.5,0,9.538461538461538,62,235,1359507.json
Chennai Super Kings,42,7.0,13.0,0,10.285714285714286,72,235,1359507.json
Chennai Super Kings,45,7.5,12.5,1,9.733333333333333,73,235,1359507.json
Chennai Super Kings,48,8.0,12.0,1,9.875,79,235,1359507.json
Chennai Super Kings,51,8.5,11.5,1,9.529411764705882,81,235,1359507.json
Chennai Super Kings,54,9.0,11.0,1,9.88888888888889,89,235,1359507.json
Chennai Super Kings,57,9.5,10.5,1,9.68421052631579,92,235,1359507.json
